Date;Pdc A [W];Pdc B [W];Pdc [W];Udc A [V];Udc B [V];Pac 1 [W];Pac 2 [W];Pac 3 [W];Pac [W];Uac 1 [V];Uac 2 [V];Uac 3 [V];Temp [°C];Temp2 [°C];Temp bat [°C];Pbat [W];Ubat [V];SOC [%];SOC targ [%];Pload [W];Pgrid feed [W];Pgrid load [W];Pgrid [W];Pext [W]
27.03.2024 03:20;5.6E-45;5.6E-45;1.1E-44;33.415882;26.742125;55.419727;55.292046;55.364883;166.07666;238.55083;238.16934;238.59315;22.70071;22.98583;20.575;171.60376;398.1018;75.83124;97.0;166.28705;0.39489257;0.5880117;0.19311911;0.0
27.03.2024 03:25;5.6E-45;5.6E-45;1.1E-44;33.559216;26.825533;53.90959;53.787575;53.874687;161.57185;238.40593;238.16734;238.5149;22.690449;22.94535;20.575;167.71202;398.06366;75.66485;97.0;161.42491;0.61046875;0.56284356;-0.047625184;0.0
27.03.2024 03:30;5.6E-45;5.6E-45;1.1E-44;32.76704;26.203413;51.588844;51.45964;51.553932;154.60242;238.30028;238.05374;238.39975;22.680183;22.93015;20.575;160.51544;398.06366;75.504364;97.0;154.96036;0.44769716;0.74053985;0.2928427;0.0
27.03.2024 03:35;5.6E-45;5.6E-45;1.1E-44;32.447624;26.025023;50.344337;50.242496;50.33362;150.92046;238.3289;238.11952;238.46391;22.64936;22.91494;20.566668;157.63165;398.1018;75.34766;97.0;151.11176;0.5258965;0.5369626;0.011066139;0.0
27.03.2024 03:40;5.6E-45;5.6E-45;1.1E-44;32.30186;25.943323;51.042343;50.956093;51.052185;153.05063;238.03181;237.70416;238.22517;22.639074;22.925081;20.558332;159.9301;398.1018;75.188065;97.0;152.79906;0.662308;0.4107552;-0.2515528;0.0
27.03.2024 03:45;5.6E-45;5.6E-45;1.1E-44;32.19944;25.856838;53.230354;53.128746;53.23414;159.59323;238.34163;238.21909;238.62811;22.63393;22.843784;20.558332;165.8455;397.98737;75.02326;97.0;158.90906;0.65483636;0.27337244;-0.38146392;0.0
27.03.2024 03:50;5.6E-45;5.6E-45;1.1E-44;32.314247;25.929955;49.76707;49.683144;49.797405;149.24762;238.54439;238.41013;238.76431;22.63393;22.904787;20.55;156.5097;398.0255;74.867714;97.0;149.52728;0.42332453;0.41770345;-0.0056210756;0.0
27.03.2024 03:55;5.6E-45;5.6E-45;1.1E-44;32.33812;25.927595;49.493908;49.393105;49.507404;148.39441;238.19652;238.1118;238.43747;22.623634;22.904787;20.55;156.0553;397.98737;74.71212;97.0;148.42337;0.4686138;0.6369195;0.1683057;0.0
27.03.2024 04:00;5.6E-45;5.6E-45;1.1E-44;32.373886;25.960957;47.980392;47.90101;47.99155;143.87296;238.66606;238.41003;238.84087;22.623634;22.925081;20.55;152.27536;398.1018;74.56094;97.0;143.71881;0.6826465;0.33793443;-0.34471208;0.0
27.03.2024 04:05;5.6E-45;5.6E-45;1.1E-44;32.353394;25.966326;46.75087;46.651962;46.74528;140.14812;237.76329;237.4679;237.89108;22.623634;22.94535;20.55;150.39746;397.98737;74.4126;97.0;140.9117;0.3283234;0.844028;0.51570463;0.0
