(rct) ~/SAPDevelop/git/prv/rct-reader> python pv_reader.py --host HF-A21.fritz.box --listen-only 
Listening to inverter port

11:41:51: Response battery.cycles (3235850616): value: 13, type: 7
11:41:51: Response db.temp2 (1332960528): value: 32.715179443359375, type: 9
11:41:51: Response battery.maximum_discharge_current (3742004060): value: 24.999982833862305, type: 9
11:41:51: Response battery.maximum_charge_current (509594224): value: 24.999977111816406, type: 9
11:41:51: Response battery.soh (941329401): value: 1.0, type: 9
11:41:58: Response battery.stored_energy (1433419803): value: 156836.078125, type: 9
11:41:58: Response battery.used_energy (2835560576): value: 144274.25, type: 9
11:41:58: Response battery.voltage (1710149915): value: 405.2919921875, type: 9
11:41:58: Response battery.bms_software_version (2641911436): value: 5597, type: 6
11:41:58: Response battery.bms_sn (379713604): value: 0180A714022419, type: 10
11:41:58: Response g_sync.p_acc_lp (1074725211): value: -2493.972900390625, type: 9
11:41:58: Response battery.soc (2509844671): value: 0.8304666876792908, type: 9
11:41:58: Response battery.temperature (2418735867): value: 28.208332061767578, type: 9
11:41:58: Response dc_conv.dc_conv_struct[0].u_sg_lp (2996320605): value: 476.8427429199219, type: 9
11:41:58: Response dc_conv.dc_conv_struct[1].u_sg_lp (1538787162): value: 471.3972473144531, type: 9
11:41:58: Response dc_conv.dc_conv_struct[0].p_dc_lp (3675358555): value: 1389.9857177734375, type: 9
11:41:58: Response dc_conv.dc_conv_struct[1].p_dc_lp (213242395): value: 1395.2843017578125, type: 9
11:41:58: Response energy.e_ext_total (2778498088): value: 0.0, type: 9
11:41:58: Response fault[0].flt (939120074): value: 0, type: 6
11:41:58: Response fault[1].flt (592135990): value: 0, type: 6
11:41:58: Response fault[2].flt (998231367): value: 0, type: 6
11:41:58: Response fault[3].flt (2139176307): value: 0, type: 6
11:41:58: Response buf_v_control.power_reduction_max_solar_grid (4101225566): value: 9880.0, type: 9
11:41:58: Response energy.e_grid_feed_total (1154794803): value: -613794.8125, type: 9
11:41:58: Response energy.e_grid_load_total (1660676060): value: 17236.91796875, type: 9
11:41:58: Response g_sync.p_ac_load_sum_lp (449346208): value: 249.11959838867188, type: 9
11:41:58: Response energy.e_load_total (4025791799): value: 244723.390625, type: 9
11:41:58: Response g_sync.i_dr_eff[0] (2314092213): value: 0.3668181896209717, type: 9
11:41:58: Response g_sync.i_dr_eff[1] (1695293143): value: 0.36133965849876404, type: 9
11:41:58: Response g_sync.i_dr_eff[2] (2461820971): value: 0.36135515570640564, type: 9
11:41:58: Response g_sync.u_l_rms[0] (3473223813): value: 237.5646209716797, type: 9
11:41:58: Response g_sync.u_l_rms[1] (1421109326): value: 237.2371368408203, type: 9
11:41:58: Response g_sync.u_l_rms[2] (625336877): value: 237.7953338623047, type: 9
11:41:58: Response g_sync.p_ac_grid_sum_lp (2439085144): value: 0.6491607427597046, type: 9
11:41:58: Response grid_pll[0].f (474637919): value: 49.972469329833984, type: 9
11:41:58: Response energy.e_dc_total[0] (4235348638): value: 433475.15625, type: 9
11:41:58: Response energy.e_dc_total[1] (1760492861): value: 446062.96875, type: 9
11:41:58: Response energy.e_ac_total (2985256910): value: 841299.25, type: 9
11:41:58: Response io_board.s0_external_power (3916372036): value: 0.0, type: 9
11:41:58: Response energy.e_ac_day (3176501343): value: 1616.16455078125, type: 9
11:41:58: Response battery.stack_software_version[0] (1669879148): value: 5597, type: 6
11:41:58: Response battery.stack_software_version[1] (2773239429): value: 5597, type: 6
11:41:58: Response battery.stack_software_version[2] (3367638825): value: 5597, type: 6
11:41:58: Response battery.stack_software_version[3] (141325744): value: 5597, type: 6
11:41:58: Response battery.stack_software_version[4] (2752054975): value: 5597, type: 6
11:41:58: Response battery.stack_software_version[5] (4003722651): value: 0, type: 6
11:41:58: Response battery.stack_software_version[6] (1769240970): value: 0, type: 6
11:41:58: Response energy.e_dc_day[0] (719782898): value: 4714.93505859375, type: 9
11:41:58: Response energy.e_dc_day[1] (4227059351): value: 4774.6630859375, type: 9
11:41:58: Response energy.e_ext_day (3114280697): value: 0.0, type: 9
11:41:58: Response energy.e_grid_feed_day (1015530741): value: -262.8971252441406, type: 9
11:41:58: Response energy.e_grid_load_day (2256400253): value: 1300.9449462890625, type: 9
11:41:58: Response energy.e_load_day (792468861): value: 2654.271484375, type: 9
11:41:58: Response prim_sm.island_flag (908318762): value: 2, type: 4


11:42:21: Response inverter_sn (2032446425): value: 0065B402017939, type: 10
11:42:22: Response buf_v_control.power_reduction_max_solar (1270937972): value: 9880.0, type: 9
11:42:22: Response g_sync.p_ac_lp[0] (1910573905): value: 78.6156234741211, type: 9
11:42:22: Response g_sync.p_ac_lp[1] (1847352184): value: 78.82061767578125, type: 9
11:42:22: Response g_sync.p_ac_lp[2] (3113389137): value: 78.58226776123047, type: 9
11:42:22: Response g_sync.u_zk_sum_mov_avg (605358981): value: 766.9452514648438, type: 9
11:42:22: Response g_sync.p_ac_sum_lp (3677186478): value: 236.01853942871094, type: 9
11:42:22: Response battery.ah_capacity (3044759997): value: 25.0, type: 9
